modern_nam;LCD_name;ID;unci;x;y;province;kylaegund;parocchia
Aasu;Itereuerae;LCD4;6;631284;6588310;Uironia;Repel [Vir];Halelae
Jagumaa;Jacomeckae;LCD67;10;547580;6581858;;Ocrielae;Waskael
Järveküla (+Heckelal);Jaergaekylae;LCD82;20;545017;6584473;;Repel;Jeeleth
Laanemõisa;Jagenael;LCD187;20;627815;6581868;Uironia;Repel [Vir];Toruestaeuaerae
Jägala;Jakawoldal;LCD75;17;570265;6587243;;Repel;Jeeleth
Jälgimäe;Jalkemaetae;LCD76;11;534348;6575894;;Uomentakae;Keykel
Järtu;Jaruios;LCD79;32;626199;6572599;Uironia;Repel [Vir];Toruestaeuaerae
Järni;Jarwaen;LCD77;10;629020;6574254;Uironia;Repel [Vir];Toruestaeuaerae
Järsi;Jarvius;LCD78;15;560059;6582204;;Ocrielae;Waskael
Jõelähtme;Jeeleth;LCD71;14;563772;6590320;;Repel;Jeeleth
Jrve;Jeruius;LCD80;16;687253;6589798;Uironia;Alentagh;
Joaküla;Jukal;LCD69;8;566911;6591144;;Repel;Jeeleth
Juuru;Juriz;LCD70;7;554753;6547232;Haeriae;;Juriz
Kaegynurmi;Kaegynurmi;LCD353;12;636008;6539172;Uironia;Lemmun;Katcaekylae
Kaersoo;Kaeris;LCD90;8;569544;6582780;;Repel;Jeeleth
Kärsa;Kaersae;LCD186;2;557514;6587547;;Ocrielae;Waskael
Kärsa;Kaersaelae;LCD185;2;631369;6548847;Uironia;Lemmun;Katcaekylae
Kahala;Kaial;LCD91;21;586106;6593381;;Repel;Kusala
Kaivere;Kaipiaverae;LCD95;6;573937;6569417;Haeriae;;Kolkis
Kaiu;Kaiu;LCD94;11;560758;6542142;Haeriae;;Juriz
Kalamäe;Kalameki;LCD96;5;587492;6594066;;Repel;Kusala
Kalliküla;Kaligalae;LCD100;10;638809;6598762;Uironia;Repel [Vir];Halelae
Maa-Kallavere;Kallaeuaer?;LCD217;15;559241;6591799;;Repel;Jeeleth
Kallukse;Kallax;LCD101;8;617593;6582334;Uironia;Repel [Vir];Toruestaeuaerae
Kalesi;Kallis senkau;LCD98;6;563252;6578877;;Repel;Jeeleth
Kalina;Kaltanus;LCD99;10;690555;6574419;Uironia;Alentagh;
Kandla;Kandalae;LCD484;24;628390;6598407;Uironia;Repel [Vir];Halelae
Kantküla;Kandukylae;LCD105;14;644351;6576481;Uironia;Laemund;Vov
Kangla;Kangelae;LCD104;;559252;6580404;;Ocrielae;Waskael
Karila;Kariael;LCD106;20;648538;6563141;Uironia;Laemund;Vov
Karitse;Kariscae;LCD107;5;558456;6540630;Haeriae;;Juriz
Kõrgu;Karku;LCD176;9;540961;6541222;Haeriae;;Haccriz
Karla;Karol;LCD109;14;564354;6559473;Haeriae;;Kolkis
Karlaküla;Karowelae;LCD110;4;552546;6581140;;Ocrielae;Waskael
Karunga;Karungca;LCD113;5;628095;6571324;Uironia;Repel [Vir];Toruestaeuaerae
Kasvandu;Kasawand;LCD115;8;559900;6543237;Haeriae;;Juriz
Rasivere;Kassiuerae;LCD328;7;621852;6593836;Uironia;Repel [Vir];Halelae
Kasu;Kazwold;LCD114;12;540790;6561309;Haeriae;;Haccriz
Kata;Katal;LCD116;12;554401;6561948;Haeriae;;Kolkis
Katela;Katal;LCD117;18;636753;6593272;Uironia;Repel [Vir];Halelae
Katku;Katcaekylae;LCD491;;638644;6548499;Uironia;Lemmun;Katcaekylae
Vanamõisa;Katenshapae;LCD430;4;624679;6591829;Uironia;Repel [Vir];Halelae
Kadja;Kathis;LCD88;4;569657;6545365;Haeriae;;Juriz
Kadiküla;Katinkylae;LCD87;3;638136;6535939;Uironia;Lemmun;Katcaekylae
Aaspere;Katkantagus;LCD3;6;621397;6589198;Uironia;Repel [Vir];Halelae
Katkutaga;Katkuntakuse;LCD119;8;642452;6584798;Uironia;Laemund;Vov
Kahula;Kawal;LCD92;18;689715;6582268;Uironia;Alentagh;
Kaidmaa;Kaytamaelae;LCD93;22;700712;6567137;Uironia;Alentagh;
Kaemla;Keamol;LCD89;3;563703;6582135;;Repel;Jeeleth
Kestla;Kectaelae;LCD126;6;664315;6589712;Uironia;Askaelae;
Keila;Keikael;LCD124;10;524476;6574480;;Uomentakae;Keykel
Kärmu;Kermae;LCD183;6;619838;6590939;Uironia;Repel [Vir];Halelae
Kehra;Ketherae;LCD123;10;575810;6579955;;Repel;Jeeleth
Käbiküla;Kiaeppaekulae;LCD180;5;548054;6530734;Haeriae;;Haccriz
Käbiküla;Kiaeppaekylae;LCD181;23;527342;6549819;Haeriae;;Haccriz
Kiarkiuer;Kiarkiuer;LCD368;2;542429;6543907;Haeriae;;Haccriz
Kärpla;Kiarpalae;LCD184;8;548909;6527332;Haeriae;;Haccriz
Kiku;Kicko;LCD132;8;619386;6574071;Uironia;Repel [Vir];Toruestaeuaerae
Kiia;Kienkylae;LCD129;12;528492;6580638;;Uomentakae;Keykel
Kiikla;Kikalae;LCD130;5;684448;6576032;Uironia;Alentagh;
Keoküla;Kipunkaelae;LCD125;3;542192;6528870;Haeriae;;Haccriz
Vanamõisa;Kircotaen;LCD431;12;531098;6577109;;Uomentakae;Keykel
Kirivalla;Kiriawold;LCD135;15;563650;6554811;Haeriae;;Kolkis
Kirimäe;Kiriollae maec;LCD134;6;564275;6558353;Haeriae;;Kolkis
Vardi;Kiriuaer;LCD438;7;526087;6545106;Haeriae;;Haccriz
Kurtna;Kirtanaos;LCD168;7;700230;6575638;Uironia;Alentagh;
Kisuvere;Kiskeuerae;LCD136;8;629861;6588840;Uironia;Repel [Vir];Halelae
Kiiu;Kithae;LCD131;30;578599;6590770;;Repel;Kusala
Kiviloo;Kiulo;LCD137;16;572389;6572835;Haeriae;;Kolkis
Kihmla;Kiumbala;LCD128;5;571752;6580965;;Repel;Jeeleth
Koila;Kogael;LCD151;10;566588;6590669;;Repel;Jeeleth
Koila;Kogelae;LCD149;12;637277;6534557;Uironia;Lemmun;Katcaekylae
Kõlu;Kohoy;LCD174;15;576558;6582237;;Repel;Jeeleth
Koigi;Koic;LCD148;10;543732;6548274;Haeriae;;Haccriz
Kohila;Koil, Koylae;LCD146;24;542938;6559743;Haeriae;;Haccriz
Koila;Kokael;LCD150;40;654758;6595054;Uironia;Maum;Maum
Kõljala;Kolgael;LCD173;3;666873;6586881;Uironia;Alentagh;
Kõnnaste;Kondos;LCD265;40;619523;6583732;Uironia;Repel [Vir];Toruestaeuaerae
Kõrma;Korpywomais;LCD177;4;651958;6578209;Uironia;Maum;Maum
Proosa;Koskil;LCD300;4;552925;6588960;;Repel;Jeeleth
Kostivere;Kostaeuerae;LCD155;6;562275;6588151;;Repel;Jeeleth
Kodja;Koti;LCD140;11;535570;6552966;Haeriae;;Haccriz
Kodila;Kotial;LCD139;4;538591;6544754;Haeriae;;Haccriz
Valtu;Kotoaassen;LCD428;4;548762;6538163;Haeriae;;Haccriz
Koduvere;Kottewaerae;LCD141;6;621461;6597019;Uironia;Repel [Vir];Halelae
Kõue;Koy;LCD179;19;571078;6550319;Haeriae;;Kolkis
Kohatu;Kuaet;LCD145;10;529841;6558157;Haeriae;;Haccriz
Kukruse;Kuckarus;LCD157;7;690953;6587977;Uironia;Alentagh;
Kulenga;Kuldenkava;LCD158;2;629652;6565857;Uironia;Laemund;Vov
Kullamägi;Kullawa;LCD159;8;591938;6595362;;Repel;Kusala
Kurena;Kurkenoy;LCD165;4;562763;6560388;Haeriae;;Kolkis
Kurevere;Kurkeuerae;LCD166;2;547568;6568225;;Ocrielae;Waskael
Kuusalu;Kusala;LCD171;25;581502;6590568;;Repel;Kusala
Kutsala;Kuscaelae;LCD170;12;648288;6596907;Uironia;Maum;Maum
Kustja;Kustizae;LCD169;17;526492;6552419;Haeriae;;Haccriz
Kohala;Kwalae;LCD143;26;642282;6587045;Uironia;Maum;Maum
Kihlevere;Kyllaeuaerae;LCD127;5;620829;6584327;Uironia;Repel [Vir];Toruestaeuaerae
Kõmmaste;Kyminaestkylae;LCD175;3;502492;6564438;;Uomentakae;Keykel
Rabivere;Kyuizael;LCD317;15;539504;6551722;Haeriae;;Haccriz
Lellepere;Laelleuer;LCD201;5;546821;6528526;Haeriae;;Haccriz
Lümandu;Laemaeth;LCD216;10;533346;6559014;Haeriae;;Haccriz
Pällu;Laemestaekilae;LCD310;5;526587;6567016;;Uomentakae;Keykel
Levala;Laeuel;LCD204;6;630272;6572346;Uironia;Repel [Vir];Halelae
Laitse;Laidus;LCD190;14;523197;6562473;;Uomentakae;Keykel
Laoküla;Laiduscae;LCD194;18;507237;6576401;;Uomentakae;Keykel
Lagedi;Lakethae;LCD189;23;553839;6585221;;Ocrielae;Waskael
Lante;Lanthi;LCD193;7;622983;6582404;Uironia;Repel [Vir];Toruestaeuaerae
Lehtse;Lateis;LCD200;4;548568;6573176;;Ocrielae;Waskael
Vilama;Laucotaux;LCD455;2;573607;6562284;Haeriae;;Kolkis
Lehola;Lehol;LCD199;7;518504;6572669;;Uomentakae;Keykel
Lihu;Leiusi;LCD206;2;560955;6535392;Haeriae;;Juriz
Lehmja;Lemethel;LCD197;15;550242;6580223;;Ocrielae;Waskael
Lehmja;Lemethos;LCD198;20;531004;6578805;;Uomentakae;Keykel
Lendermaa;Lendaelemet;LCD202;4;571358;6564848;Haeriae;;Kolkis
Libadu;Lepat;LCD205;8;546567;6538746;Haeriae;;Haccriz
Lasinurme;Lestaenormae;LCD195;17;633346;6536244;Uironia;Lemmun;Katcaekylae
Lehetu;Leuetae;LCD196;4;515059;6546384;;Uomentakae;Keykel
Lõiuse;Leus;LCD214;13;550512;6553985;Haeriae;;Juriz
Liiguste;Ligaelae;LCD207;12;619143;6592275;Uironia;Repel [Vir];Halelae
Rootsi-Kallavere (Lillevere);Lillaeuerae;LCD342;9;558336;6595192;;Repel;Jeeleth
Limmu;Limbus;LCD209;4;555651;6579410;;Ocrielae;Waskael
Lepna;Lippanal;LCD203;30;631666;6578044;Uironia;Repel [Vir];Halelae
Liikva;Liqua;LCD208;7;523705;6587909;;Uomentakae;Keykel
Linnaaluste;Litnanas;LCD210;14;554565;6534162;Haeriae;;Haccriz
Lipa;Liuas;LCD211;7;540990;6529823;Haeriae;;Haccriz
Lohu;Loal;LCD212;27;544895;6555255;Haeriae;;Haccriz
Loobu;Lopae;LCD213;8;610547;6592182;Uironia;Repel [Vir];Toruestaeuaerae
Lüganuse;Lygenus;LCD215;45;672760;6586291;Uironia;Askaelae;
Ravila;Maechius;LCD334;8;569842;6561307;Haeriae;;Kolkis
Määra;Maegaer;LCD245;4;505386;6563603;;Uomentakae;Keykel
Maidla;Mahethae;LCD226;9;551456;6546276;Haeriae;;Juriz
Maheda;Maidalae;LCD222;18;628918;6591031;Uironia;Repel [Vir];Halelae
Maeru;Mairusa;LCD221;4;515639;6569326;;Uomentakae;Keykel
Maljavere;Maleiafer;LCD227;7;565120;6570424;;Repel;Jeeleth
Malla;Mallula;LCD228;5;646654;6598742;Uironia;Maum;Maum
Mõnnuste;Mandaes;LCD241;4;524278;6555066;Haeriae;;Haccriz
Maardu;Martaekilae;LCD218;12;557820;6588420;;Repel;Jeeleth
Mahtra;Mataros;LCD223;3;558207;6549678;Haeriae;;Juriz
Madila;Mathielae;LCD219;5;517196;6551001;;Uomentakae;Keykel
Lambasaba;Mauris;LCD192;6;643306;6587470;Uironia;Maum;Maum
Maidla;Maydalae;LCD225;10;671363;6581549;Uironia;Askaelae;
Mäetaguse;Meintacus;LCD243;11;687102;6570494;Uironia;Alentagh;
Mäe;Mekius;LCD230;3;548379;6555307;Haeriae;;Juriz
Mäoküla;Mekius;LCD244;20;618814;6578822;Uironia;Repel [Vir];Toruestaeuaerae
Melanculae;Melanculae;LCD231;4;506528;6564642;;Uomentakae;Keykel
;Mellaes;LCD494;;;;Uironia;Repel [Vir];Halelae
Mädapea;Metapae;LCD242;5;628135;6577726;Uironia;Repel [Vir];Halelae
Mehidi;Methias;LCD229;4;670645;6574704;Uironia;Askaelae;
