modern_nam;LCD_name;ID;unci;x;y;province;kylaegund;parocchia
Raikküla;Raiklaep;LCD322;5;543572;6533137;Haeriae;;Haccriz
Raka;Rakal;LCD323;8;539500;6546834;Haeriae;;Haccriz
Rahkla;Rakela;LCD319;12;647124;6582642;Uironia;Maum;Maum
Rannuküla;Randu;LCD325;12;662028;6592415;Uironia;Maum;Maum
Rapla;Rapal;LCD326;8;545682;6541250;Haeriae;;Haccriz
Rasivere;Rasiuerae;LCD327;10;576427;6564486;Haeriae;;Kolkis
Sookaera;Ratho;LCD377;6;545760;6570699;;Ocrielae;Waskael
Raudlepa;Rauculeppi;LCD330;10;641250;6581093;Uironia;Laemund;Vov
Raudna;Raudanal;LCD331;20;656322;6592865;Uironia;Maum;Maum
Ravila;Rauelik;LCD335;18;571067;6560655;Haeriae;;Kolkis
Raudvere;Raulaeuaerae;LCD332;18;641628;6583414;Uironia;Laemund;Vov
Rausvere;Rausauerae;LCD333;6;699027;6578726;Uironia;Alentagh;
Rahula 1;Rauwal;LCD320;4;520168;6547880;;Uomentakae;Keykel
Rahula 2;Rauwalae;LCD321;11;532151;6573069;;Uomentakae;Keykel
Kämlu;Remmeuo;LCD182;5;557138;6561556;Haeriae;;Kolkis
Rebala;Reppel;LCD336;8;561692;6591883;;Repel;Jeeleth
Reuanal;Reuanal;LCD338;5;691608;6587311;Uironia;Alentagh;
Rooküla;Rocol;LCD341;6;574597;6570146;Haeriae;;Kolkis
Püssi;Rodickae;LCD315;5;672968;6585936;Uironia;Askaelae;
Roela;Roilae;LCD339;16;648718;6562162;Uironia;Laemund;Vov
;Ropae;LCD489;4;;;Haeriae;;Juriz
Viru-Jaagupi;Routhae;LCD489;10;641093;6569909;Uironia;Laemund;Vov
Ruila;Rughael;LCD343;15;525206;6561528;;Uomentakae;Keykel
Rummu;Rung;LCD344;5;574121;6590699;;Repel;Kusala
Ruu;Rutae;LCD345;8;568806;6591412;;Repel;Jeeleth
Saha;Saga;LCD350;12;556153;6588050;;Ocrielae;Waskael
Harju-Jaani;Saintakae;LCD316;43;567597;6582419;;Repel;Jeeleth
Salutaguse;Salandaus;LCD356;8;559387;6540784;Haeriae;;Juriz
Salla;Salda;LCD354;15;637108;6536827;Uironia;Lemmun;Katcaekylae
Salla;Salda;LCD355;8;618064;6573756;Uironia;Repel [Vir];Toruestaeuaerae
Salatse;Salunal;LCD352;14;622355;6595703;Uironia;Repel [Vir];Halelae
Sammu;Sambas;LCD358;10;568888;6584098;;Repel;Jeeleth
Samma;Samma;LCD357;6;652802;6588696;Uironia;Maum;Maum
Sõandu;Sandae;LCD382;11;536250;6549324;Haeriae;;Haccriz
Saarmuse;Sarmus;LCD347;5;549573;6553884;Haeriae;;Juriz
Saarne;Sarnae;LCD348;6;559060;6587964;;Repel;Jeeleth
Tüükri;Satael;LCD406;5;656139;6593576;Uironia;Maum;Maum
Sadala;Sataial;LCD349;5;551450;6553372;Haeriae;;Juriz
Saka;Satzae;LCD351;20;683246;6592289;Uironia;Alentagh;
Saula;Saul;LCD359;5;558900;6563198;Haeriae;;Kolkis
Savala;Saula;LCD362;13;671312;6579497;Uironia;Askaelae;
Saunja;Saunoy;LCD360;25;573890;6587745;;Repel;Jeeleth
Sausti;Sauthael;LCD361;5;544464;6574664;;Ocrielae;Waskael
Sõgula;Seculis;LCD383;7;550890;6570956;;Ocrielae;Waskael
Seli;Selkius;LCD363;3;547256;6551842;Haeriae;;Juriz
Selja;Sellaegael;LCD364;45;636362;6597605;Uironia;Repel [Vir];Halelae
Sõmeru;Semaer;LCD386;6;572929;6560429;Haeriae;;Kolkis
Sämi;Semis;LCD388;28;647698;6585685;Uironia;Maum;Maum
Igavere;Serriuerae;LCD62;5;561490;6577608;Haeriae;;Jeeleth
Sõrve;Serueuerae;LCD387;10;525461;6587773;;Uomentakae;Keykel
Sikeldi;Sicaleth;LCD367;9;542582;6543332;Haeriae;;Haccriz
Sigula;Sicutol;LCD366;22;589277;6590759;;Repel;Kusala
Selli;Silgele;LCD365;5;632416;6530288;Uironia;Lemmun;Katcaekylae
Silmsi;Silmel;LCD369;5;564951;6573848;;Repel;Jeeleth
Silmsi;Silmus;LCD370;5;575152;6553738;Haeriae;;Kolkis
Soodla;Socal;LCD376;10;575937;6584615;;Repel;Jeeleth
Saluse;Sochentakaes;LCD220;3;533374;6565354;;Uomentakae;Keykel
Laeste;Soka;LCD188;3;548070;6527139;Haeriae;;Haccriz
Soomukse;Somaecos;LCD378;8;613049;6590071;Uironia;Repel [Vir];Toruestaeuaerae
Sõmeru;Someres;LCD384;5;551624;6567511;;Ocrielae;Waskael
Sõmeru;Someruerae;LCD385;10;638550;6582785;Uironia;Repel [Vir];Halelae
Sooaluste;Sonalae;LCD375;7;546698;6530382;Haeriae;;Haccriz
Sooaluse;Sonaldae;LCD374;15;640653;6588434;Uironia;Maum;Maum
Soonurme;Sonorm;LCD379;1;668589;6578977;Uironia;Askaelae;
Siuge;Surti;LCD372;3;565221;6550271;Haeriae;;Juriz
Sootaga;Svandaus;LCD380;10;618200;6580532;Uironia;Repel [Vir];Toruestaeuaerae
Tõikvere;Taeukeuerae;LCD401;9;624114;6590828;Uironia;Repel [Vir];Halelae
Tamsi;Tamias;LCD392;6;562796;6548614;Haeriae;;Juriz
Suure-Tammiku;Tamicas;LCD381;21;634121;6541102;Uironia;Lemmun;Katcaekylae
Väike-Tammiku;Tamicas;LCD476;8;633120;6543073;Uironia;Lemmun;Katcaekylae
Tabara;Tapaiarhu;LCD389;2;513559;6551931;;Uomentakae;Keykel
Tabase;Tapawolkae;LCD48;2;563861;6559833;Haeriae;;Kolkis
Tarvamägi;Tarvameki;LCD393;2;528061;6575635;;Uomentakae;Keykel
Tatruse;Tatarais;LCD394;32;629036;6592058;Uironia;Repel [Vir];Halelae
Tõdva;Tedau;LCD482;15;541906;6570371;Haeriae;;Haccriz
Tänasilma;Tennesilmae;LCD405;3;537839;6577555;;Uomentakae;Keykel
Tõrma;Terma;LCD404;4;540113;6540878;Haeriae;;Haccriz
Tuhala;Tohal;LCD399;5;555323;6565531;Haeriae;;Kolkis
Tohisoo;Tois;LCD395;16;543884;6558038;Haeriae;;Haccriz
Tokolopi;Tokolep;LCD396;7;616822;6576572;Uironia;Repel [Vir];Toruestaeuaerae
Tolks;Tolkas;LCD144;20;643651;6589112;Uironia;Maum;Maum
Toomja;Tomias;LCD397;7;562344;6543148;Haeriae;;Juriz
Tõnuvere;Tonnaewaerae;LCD402;2;633254;6569375;Uironia;Laemund;Vov
Tõrma;Tormas;LCD403;70;632232;6577200;Uironia;Repel [Vir];Halelae
Kadrina;Torueastaeuaerae;LCD492;;621092;6580285;Uironia;Repel [Vir];Torueastaeuaerae
Torvascula;Torvascula;LCD81;3;687745;6590359;Uironia;Alentagh;
Tuula;Tulalae;LCD400;12;526057;6571125;;Uomentakae;Keykel
Tudu;Tydy;LCD398;10;663144;6563620;Uironia;Laemund;Vov
Varbola;Uarpal;LCD437;10;527693;6544301;Haeriae;;Haccriz
Vardja;Uauae;LCD439;1;569532;6560213;Haeriae;;Kolkis
Uuri;Ueri;LCD418;14;588470;6595687;;Repel;Kusala
Roela;Uettaerokae;LCD340;16;648260;6561361;Uironia;Laemund;Vov
Viimsi;Uianra;LCD454;7;547342;6596352;;Repel;Jeeleth
Veltsi;Uilsae;LCD451;20;628802;6586772;Uironia;Repel [Vir];Halelae
Vilumäe;Uilumaeki;LCD457;5;515939;6553289;;Uomentakae;Keykel
Võle;Ulkaenpet;LCD473;12;627130;6594148;Uironia;Repel [Vir];Halelae
;Unaes;LCD493;;;;Uironia;Repel [Vir];Halelae
Ontika;Undaegas;LCD266;5;687050;6593467;Uironia;Alentagh;
Undla;Undyl;LCD413;9;619889;6580802;Uironia;Repel [Vir];Toruestaeuaerae
Voore;Uorulae;LCD463;20;643614;6568160;Uironia;Laemund;Vov
Voorepere;Uorumperae;LCD464;8;677709;6589656;Uironia;Askaelae;
Veadla;Uvaetel;LCD450;5;633579;6566130;Uironia;Laemund;Vov
Väo;Uvaetho;LCD477;13;551727;6588922;;Ocrielae;Waskael
Valaste;Uvalat;LCD424;2;690932;6593562;Uironia;Alentagh;
Valkla;Uvalkal;LCD427;46;575724;6594405;;Repel;Kusala
Vandjala;Uvanghaelae;LCD432;8;560874;6589531;;Repel;Jeeleth
Vandu;Uvannae;LCD433;12;625299;6577982;Uironia;Repel [Vir];Toruestaeuaerae
Varangu;Uvarangalae;LCD436;32;632267;6595241;Uironia;Repel [Vir];Halelae
Varja;Uvarelae;LCD441;24;675934;6589137;Uironia;Askaelae;
Vasta;Uvaskaethae;LCD446;8;652552;6594385;Uironia;Maum;Maum
Vaiatu;Waeghattae;LCD422;5;613726;6583375;Uironia;Repel [Vir];Toruestaeuaerae
Võipere;Waeibigaerwa;LCD471;30;619989;6587559;Uironia;Repel [Vir];Halelae
Võerdla;Waerael;LCD467;7;560303;6591493;;Repel;Jeeleth
Lalli;Waeraeng;LCD191;1;558440;6527127;Haeriae;;Juriz
Võrkla;Waerkaelae;LCD474;15;652200;6591239;Uironia;Maum;Maum
Võrnu;Waerkun;LCD475;13;681956;6578069;Uironia;Alentagh;
Võivere;Waetheuerae;LCD472;4;554992;6561157;Haeriae;;Kolkis
Võduvere;Waettaeuaer;LCD466;8;621537;6578036;Uironia;Repel [Vir];Toruestaeuaerae
Võide;Waeudith;LCD470;9;686911;6573230;Uironia;Alentagh;
Vahnamaa;Wahanina;LCD421;7;515552;6549979;;Uomentakae;Keykel
Vaopere;Wahumperae;LCD435;4;566145;6547857;Haeriae;;Juriz
Vaela;Waiolae;LCD420;5;546654;6576997;;Ocrielae;Waskael
Vaeküla;Wakalae;LCD419;22;643058;6580682;Uironia;Laemund;Vov
Valgma;Walghamus;LCD425;2;623737;6575301;Uironia;Repel [Vir];Toruestaeuaerae
Vasavere;Walsaraevaerae;LCD444;8;700465;6578385;Uironia;Alentagh;
Varudi;Waradas;LCD442;45;650007;6590059;Uironia;Maum;Maum
Varese;Waret suto;LCD440;5;517829;6547309;;Uomentakae;Keykel
Vaida;Wartae;LCD423;15;555735;6572218;;Ocrielae;Waskael
Vatsla;Wasal;LCD449;5;527944;6584733;;Uomentakae;Keykel
Vastja;Waskilae;LCD447;2;550167;6523686;Haeriae;;Haccriz
Vatku;Wataekya;LCD448;20;602704;6601417;Uironia;Repel [Vir];Toruestaeuaerae
Ubina;Vbbianes;LCD408;9;561276;6571040;;Repel;Jeeleth
Ubja;Vbias;LCD409;23;638157;6588856;Uironia;Repel [Vir];Halelae
Võhma;Vemais;LCD468;12;645847;6583358;Uironia;Maum;Maum
Veri;Veri;LCD121;6;554672;6534973;Haeriae;;Haccriz
